# RQ1 experiment - F-series
Dataset includes: D=5 F=0-8 K=5
paradigm,series,D-Target,F-Target,K-Target,run,cm1_request_count,cm2_orchestration_ops,cm3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,F,5,1,5,1,6,6,1600,30,5,ok
REST,F,5,1,5,2,6,6,1600,30,5,ok
GraphQL,F,5,1,5,1,1,6,928,0,0,ok
GraphQL,F,5,1,5,2,1,6,928,0,0,ok
gRPC,F,5,1,5,1,1,6,1146,30,0,ok
gRPC,F,5,1,5,2,1,6,1146,30,0,ok
REST,F,5,2,5,1,32,32,16788,315,31,ok
REST,F,5,2,5,2,32,32,16788,315,31,ok
GraphQL,F,5,2,5,1,1,32,9303,0,0,ok
GraphQL,F,5,2,5,2,1,32,9303,0,0,ok
gRPC,F,5,2,5,1,1,32,12033,315,0,ok
gRPC,F,5,2,5,2,1,32,12033,315,0,ok
REST,F,5,3,5,1,122,122,96944,1820,121,ok
REST,F,5,3,5,2,122,122,96944,1820,121,ok
GraphQL,F,5,3,5,1,1,122,52914,0,0,ok
GraphQL,F,5,3,5,2,1,122,52914,0,0,ok
gRPC,F,5,3,5,1,1,122,69528,1820,0,ok
gRPC,F,5,3,5,2,1,122,69528,1820,0,ok
REST,F,5,4,5,1,342,342,363430,6825,341,ok
REST,F,5,4,5,2,342,342,363430,6825,341,ok
GraphQL,F,5,4,5,1,1,342,196915,0,0,ok
GraphQL,F,5,4,5,2,1,342,196915,0,0,ok
gRPC,F,5,4,5,1,1,342,260720,6825,0,ok
gRPC,F,5,4,5,2,1,342,260720,6825,0,ok
REST,F,5,5,5,1,782,782,1039776,19530,781,ok
REST,F,5,5,5,2,782,782,1039776,19530,781,ok
GraphQL,F,5,5,5,1,1,782,560916,0,0,ok
GraphQL,F,5,5,5,2,1,782,560916,0,0,ok
gRPC,F,5,5,5,1,1,782,746077,19530,0,ok
gRPC,F,5,5,5,2,1,782,746077,19530,0,ok
REST,F,5,6,5,1,1556,1556,2483600,46655,1555,ok
REST,F,5,6,5,2,1556,1556,2483600,46655,1555,ok
GraphQL,F,5,6,5,1,1,1556,1335903,0,0,ok
GraphQL,F,5,6,5,2,1,1556,1335903,0,0,ok
gRPC,F,5,6,5,1,1,1556,1782264,46655,0,ok
gRPC,F,5,6,5,2,1,1556,1782264,46655,0,ok
REST,F,5,7,5,1,2802,2802,5218528,98040,2801,ok
REST,F,5,7,5,2,2802,2802,5218528,98040,2801,ok
GraphQL,F,5,7,5,1,1,2802,2801158,0,0,ok
GraphQL,F,5,7,5,2,1,2802,2801158,0,0,ok
gRPC,F,5,7,5,1,1,2802,3745186,98040,0,ok
gRPC,F,5,7,5,2,1,2802,3745186,98040,0,ok
REST,F,5,8,5,1,4682,4682,9966114,187245,4681,ok
REST,F,5,8,5,2,4682,4682,9966114,187245,4681,ok
GraphQL,F,5,8,5,1,1,4682,5341179,0,0,ok
GraphQL,F,5,8,5,2,1,4682,5341179,0,0,ok
gRPC,F,5,8,5,1,1,4682,7152833,187245,0,ok
gRPC,F,5,8,5,2,1,4682,7152833,187245,0,ok
