# RQ1 experiment - K-series
Dataset includes: D=5 F=5 K=0-8
paradigm,series,D-Target,F-Target,K-Target,run,cm1_request_count,cm2_orchestration_ops,cm3_payload_bytes,overfetch_fields,underfetch_extra_calls,status
REST,K,5,5,1,1,782,782,1039776,35154,781,ok
REST,K,5,5,1,2,782,782,1039776,35154,781,ok
GraphQL,K,5,5,1,1,1,782,170316,0,0,ok
GraphQL,K,5,5,1,2,1,782,170316,0,0,ok
gRPC,K,5,5,1,1,1,782,746077,35154,0,ok
gRPC,K,5,5,1,2,1,782,746077,35154,0,ok
REST,K,5,5,2,1,782,782,1039776,31248,781,ok
REST,K,5,5,2,2,782,782,1039776,31248,781,ok
GraphQL,K,5,5,2,1,1,782,267966,0,0,ok
GraphQL,K,5,5,2,2,1,782,267966,0,0,ok
gRPC,K,5,5,2,1,1,782,746077,31248,0,ok
gRPC,K,5,5,2,2,1,782,746077,31248,0,ok
REST,K,5,5,3,1,782,782,1039776,27342,781,ok
REST,K,5,5,3,2,782,782,1039776,27342,781,ok
GraphQL,K,5,5,3,1,1,782,365616,0,0,ok
GraphQL,K,5,5,3,2,1,782,365616,0,0,ok
gRPC,K,5,5,3,1,1,782,746077,27342,0,ok
gRPC,K,5,5,3,2,1,782,746077,27342,0,ok
REST,K,5,5,4,1,782,782,1039776,23436,781,ok
REST,K,5,5,4,2,782,782,1039776,23436,781,ok
GraphQL,K,5,5,4,1,1,782,463266,0,0,ok
GraphQL,K,5,5,4,2,1,782,463266,0,0,ok
gRPC,K,5,5,4,1,1,782,746077,23436,0,ok
gRPC,K,5,5,4,2,1,782,746077,23436,0,ok
REST,K,5,5,5,1,782,782,1039776,19530,781,ok
REST,K,5,5,5,2,782,782,1039776,19530,781,ok
GraphQL,K,5,5,5,1,1,782,560916,0,0,ok
GraphQL,K,5,5,5,2,1,782,560916,0,0,ok
gRPC,K,5,5,5,1,1,782,746077,19530,0,ok
gRPC,K,5,5,5,2,1,782,746077,19530,0,ok
REST,K,5,5,6,1,782,782,1039776,15624,781,ok
REST,K,5,5,6,2,782,782,1039776,15624,781,ok
GraphQL,K,5,5,6,1,1,782,658566,0,0,ok
GraphQL,K,5,5,6,2,1,782,658566,0,0,ok
gRPC,K,5,5,6,1,1,782,746077,15624,0,ok
gRPC,K,5,5,6,2,1,782,746077,15624,0,ok
REST,K,5,5,7,1,782,782,1039776,11718,781,ok
REST,K,5,5,7,2,782,782,1039776,11718,781,ok
GraphQL,K,5,5,7,1,1,782,756216,0,0,ok
GraphQL,K,5,5,7,2,1,782,756216,0,0,ok
gRPC,K,5,5,7,1,1,782,746077,11718,0,ok
gRPC,K,5,5,7,2,1,782,746077,11718,0,ok
REST,K,5,5,8,1,782,782,1039776,7812,781,ok
REST,K,5,5,8,2,782,782,1039776,7812,781,ok
GraphQL,K,5,5,8,1,1,782,853866,0,0,ok
GraphQL,K,5,5,8,2,1,782,853866,0,0,ok
gRPC,K,5,5,8,1,1,782,746077,7812,0,ok
gRPC,K,5,5,8,2,1,782,746077,7812,0,ok
